iter	Passed	Remaining
542	23287	19598
543	23355	19577
544	23408	19543
545	23464	19510
546	23541	19496
547	23618	19480
548	23676	19450
549	23734	19419
550	23803	19396
551	23858	19363
552	23914	19330
553	23966	19294
554	24016	19256
555	24070	19222
556	24126	19188
557	24203	19171
558	24254	19134
559	24297	19090
560	24341	19047
561	24382	19003
562	24429	18962
563	24472	18918
564	24518	18877
565	24562	18834
566	24608	18792
567	24649	18747
568	24688	18700
569	24731	18656
570	24778	18616
571	24818	18570
572	24859	18525
573	24899	18479
574	24945	18437
575	24986	18392
576	25031	18350
577	25073	18306
578	25114	18260
579	25160	18219
580	25200	18174
581	25242	18129
582	25287	18087
583	25331	18044
584	25374	18000
585	25414	17954
586	25455	17910
587	25502	17869
588	25550	17829
589	25594	17785
590	25638	17742
591	25681	17699
592	25722	17654
593	25762	17608
594	25812	17569
595	25853	17524
596	25893	17479
597	25936	17435
598	25980	17392
599	26021	17347
600	26068	17306
601	26114	17265
602	26155	17220
603	26195	17174
604	26236	17129
605	26277	17084
606	26328	17046
607	26369	17001
608	26409	16956
609	26454	16913
610	26499	16871
611	26541	16827
612	26593	16788
613	26637	16745
614	26677	16700
615	26718	16655
616	26758	16610
617	26798	16564
618	26850	16526
619	26890	16480
620	26931	16436
621	26974	16392
622	27018	16349
623	27059	16305
624	27104	16262
625	27149	16220
626	27191	16175
627	27231	16130
628	27271	16085
629	27312	16040
630	27366	16003
631	27407	15958
632	27448	15914
633	27490	15869
634	27535	15827
635	27580	15785
636	27625	15742
637	27664	15696
638	27708	15653
639	27750	15609
640	27792	15565
641	27833	15520
642	27885	15482
643	27925	15436
644	27964	15391
645	28008	15348
646	28048	15303
647	28090	15258
648	28136	15217
649	28183	15175
650	28226	15132
651	28269	15088
652	28347	15063
653	28414	15032
654	28479	15000
655	28529	14960
656	28583	14922
657	28636	14883
658	28683	14842
659	28728	14799
660	28778	14759
661	28826	14717
662	28870	14674
663	28915	14631
664	28960	14589
665	29018	14552
666	29075	14515
667	29123	14474
668	29169	14432
669	29213	14388
670	29258	14345
671	29304	14303
672	29355	14263
673	29397	14219
674	29440	14175
675	29488	14133
676	29534	14091
677	29581	14049
678	29632	14008
679	29676	13965
680	29735	13928
681	29778	13884
682	29819	13840
683	29862	13796
684	29910	13754
685	29952	13710
686	29994	13665
687	30035	13620
688	30081	13577
689	30123	13533
690	30169	13491
691	30213	13447
692	30254	13402
693	30294	13357
694	30335	13312
695	30381	13270
696	30427	13227
697	30468	13182
698	30513	13139
699	30556	13095
700	30599	13051
701	30641	13007
702	30690	12966
703	30736	12923
704	30782	12880
705	30827	12837
706	30869	12793
707	30910	12748
708	30956	12705
709	31001	12662
710	31041	12617
711	31081	12572
712	31125	12528
713	31166	12484
714	31213	12441
715	31255	12397
716	31302	12355
717	31342	12310
718	31383	12265
719	31425	12221
720	31474	12179
721	31515	12134
722	31557	12090
723	31604	12048
724	31644	12003
725	31685	11958
726	31731	11915
727	31772	11871
728	31826	11831
729	31874	11789
730	31919	11745
731	31966	11703
732	32013	11661
733	32054	11616
734	32098	11572
735	32140	11528
736	32180	11483
737	32220	11438
738	32270	11397
739	32313	11353
740	32354	11308
741	32396	11264
742	32441	11221
743	32481	11176
744	32529	11134
745	32576	11091
746	32620	11048
747	32660	11003
748	32707	10960
749	32748	10916
750	32793	10872
751	32834	10828
752	32880	10785
753	32921	10740
754	32960	10695
755	33004	10652
756	33052	10610
757	33093	10565
758	33134	10521
759	33179	10477
760	33221	10433
761	33263	10389
762	33311	10347
763	33356	10303
764	33400	10260
765	33441	10215
766	33483	10171
767	33528	10128
768	33580	10087
769	33620	10042
770	33660	9997
771	33700	9953
772	33746	9910
773	33786	9865
774	33832	9822
775	33872	9777
776	33912	9732
777	33958	9689
778	34001	9646
779	34046	9602
780	34095	9560
781	34140	9517
782	34184	9473
783	34226	9429
784	34266	9385
785	34311	9341
786	34358	9298
787	34397	9254
788	34444	9211
789	34493	9169
790	34539	9126
791	34584	9082
792	34635	9040
793	34677	8996
794	34718	8952
795	34761	8908
796	34804	8864
797	34848	8821
798	34897	8779
799	34941	8735
800	34985	8691
801	35026	8647
802	35066	8602
803	35107	8558
804	35158	8516
805	35198	8472
806	35238	8427
807	35278	8382
808	35318	8338
809	35363	8295
810	35410	8252
811	35450	8207
812	35496	8164
813	35538	8120
814	35581	8076
815	35624	8033
816	35675	7990
817	35716	7946
818	35758	7902
819	35798	7858
820	35840	7814
821	35885	7770
822	35931	7727
823	35971	7683
824	36015	7639
825	36056	7595
826	36097	7551
827	36142	7507
828	36193	7465
829	36234	7421
830	36275	7377
831	36337	7337
832	36377	7292
833	36417	7248
834	36469	7206
835	36518	7163
836	36565	7120
837	36609	7077
838	36655	7033
839	36697	6989
840	36744	6946
841	36785	6902
842	36826	6858
843	36873	6815
844	36914	6771
845	36955	6727
846	37010	6685
847	37063	6643
848	37112	6600
849	37165	6558
850	37215	6516
851	37266	6473
852	37322	6431
853	37369	6388
854	37414	6345
855	37454	6300
856	37494	6256
857	37540	6212
858	37587	6169
859	37627	6125
860	37667	6081
861	37714	6037
862	37755	5993
863	37802	5950
864	37858	5908
865	37908	5865
866	37959	5823
867	38012	5780
868	38063	5737
869	38111	5694
870	38167	5652
871	38216	5609
872	38268	5567
873	38320	5524
874	38372	5481
875	38422	5438
876	38482	5397
877	38534	5354
878	38582	5311
879	38630	5267
880	38672	5223
881	38712	5179
882	38757	5135
883	38801	5091
884	38843	5047
885	38884	5003
886	38926	4959
887	38972	4915
888	39019	4871
889	39059	4827
890	39102	4783
891	39145	4739
892	39187	4695
893	39227	4651
894	39278	4608
895	39320	4563
896	39360	4519
897	39402	4475
898	39447	4431
899	39488	4387
900	39534	4343
901	39584	4300
902	39628	4256
903	39671	4212
904	39714	4168
905	39763	4125
906	39823	4083
907	39872	4039
908	39922	3996
909	39973	3953
910	40024	3910
911	40076	3866
912	40132	3824
913	40183	3780
914	40233	3737
915	40284	3694
916	40331	3650
917	40383	3607
918	40436	3564
919	40475	3519
920	40520	3475
921	40562	3431
922	40605	3387
923	40646	3343
924	40696	3299
925	40740	3255
926	40788	3212
927	40839	3168
928	40890	3125
929	40942	3081
930	40999	3038
931	41050	2995
932	41100	2951
933	41151	2907
934	41202	2864
935	41252	2820
936	41306	2777
937	41359	2733
938	41408	2690
939	41462	2646
940	41512	2602
941	41561	2558
942	41613	2515
943	41659	2471
944	41716	2427
945	41763	2383
946	41809	2339
947	41855	2295
948	41902	2251
949	41943	2207
950	41990	2163
951	42037	2119
952	42082	2075
953	42132	2031
954	42182	1987
955	42225	1943
956	42267	1899
957	42310	1854
958	42353	1810
959	42396	1766
960	42441	1722
961	42485	1678
962	42530	1634
963	42575	1589
964	42618	1545
965	42666	1501
966	42717	1457
967	42761	1413
968	42805	1369
969	42851	1325
970	42896	1281
971	42941	1236
972	42991	1192
973	43049	1149
974	43094	1104
975	43139	1060
976	43181	1016
977	43224	972
978	43270	928
979	43314	883
980	43353	839
981	43395	795
982	43441	751
983	43484	707
984	43530	662
985	43577	618
986	43627	574
987	43671	530
988	43719	486
989	43765	442
990	43813	397
991	43858	353
992	43904	309
993	43948	265
994	43992	221
995	44036	176
996	44088	132
997	44129	88
998	44169	44
999	44213	0
